                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5654,                 4.4959,                 2.4288,                0.03306,                0.05487,                0.01024,                0.00272,                 2.6236,                 22.071,                  2.814,             0.00040923,             0.00040923,             0.00040923
                      2,                 2.2926,                 3.4574,                 2.1704,                0.05604,                0.07865,                0.01343,                0.00367,                 2.7598,                 8.1238,                  3.983,             0.00077479,             0.00077479,             0.00077479
                      3,                 2.3069,                 3.3004,                 2.2527,                0.06234,                0.15007,                0.03309,                0.00825,                 2.5784,                 4.3176,                 2.6252,              0.0010888,              0.0010888,              0.0010888
                      4,                 2.2671,                 3.1699,                 2.2374,                0.11622,                0.17112,                0.07727,                0.02348,                 2.4009,                 3.3009,                 2.3373,               0.001018,               0.001018,               0.001018
                      5,                 2.2327,                 3.0817,                 2.1681,                0.14286,                0.22287,                0.08947,                0.03135,                 2.3596,                 3.5674,                 2.4129,             0.00094062,             0.00094062,             0.00094062
                      6,                 2.1793,                 3.0004,                  2.194,                0.12175,                0.19499,                0.10543,                0.03543,                 2.3323,                 2.8784,                  2.424,             0.00086328,             0.00086328,             0.00086328
                      7,                 2.2396,                 2.9237,                 2.3796,                0.12723,                0.27076,                 0.1179,                0.04349,                 2.1934,                 2.9708,                 2.4025,             0.00078594,             0.00078594,             0.00078594
                      8,                 2.1543,                 2.7885,                 2.3193,                0.19494,                0.22853,                 0.1324,                0.04731,                 2.1911,                 2.7907,                  2.391,             0.00070859,             0.00070859,             0.00070859
                      9,                 2.1403,                 2.7437,                 2.3106,                0.19205,                0.27967,                0.13535,                 0.0505,                 2.1657,                 2.7193,                 2.3156,             0.00063125,             0.00063125,             0.00063125
                     10,                  2.065,                 2.6929,                 2.2274,                0.22765,                0.31005,                0.15017,                0.05652,                 2.1138,                 2.6814,                 2.3303,             0.00055391,             0.00055391,             0.00055391
                     11,                 2.0299,                 2.5436,                 2.2095,                0.18477,                0.31708,                0.15356,                0.05641,                 2.1584,                 2.5808,                 2.2988,             0.00047656,             0.00047656,             0.00047656
                     12,                 2.0013,                 2.4426,                 2.1492,                0.26446,                0.34545,                0.20237,                0.07591,                 2.1385,                  2.471,                 2.2959,             0.00039922,             0.00039922,             0.00039922
                     13,                 1.9224,                 2.3394,                 2.1084,                0.23573,                 0.3758,                0.20292,                0.08029,                  2.135,                 2.3967,                  2.294,             0.00032188,             0.00032188,             0.00032188
                     14,                 1.8931,                 2.2959,                 2.1048,                0.24501,                0.36361,                0.20503,                0.08564,                 2.0482,                 2.3687,                 2.2632,             0.00024453,             0.00024453,             0.00024453
                     15,                 1.8364,                 2.1657,                 2.0441,                  0.288,                0.42019,                0.23001,                0.09398,                 2.0729,                 2.2965,                 2.2763,             0.00016719,             0.00016719,             0.00016719
                     16,                 1.7787,                 2.0913,                  2.017,                0.29266,                0.41452,                0.23346,                0.10117,                 2.0157,                 2.2478,                 2.2315,             8.9844e-05,             8.9844e-05,             8.9844e-05
